,GreaterRegion,DAC/LIC,rural,EV Network Clean,DCFC,Count
141,San Francisco,0,1,Tesla Destination,0,7
142,San Francisco,0,1,eVgo Network,1,0
143,San Francisco,1,0,ChargePoint Network,0,108
144,San Francisco,1,0,ChargePoint Network,1,12
145,San Francisco,1,0,Electrify America,1,2
146,San Francisco,1,0,Other,0,1
147,San Francisco,1,0,Other,1,7
148,San Francisco,1,0,Tesla,1,1
149,San Francisco,1,0,Tesla Destination,0,1
150,San Francisco,1,0,SHELL_RECHARGE,0,2
151,San Francisco,1,0,eVgo Network,1,0
152,San Francisco,1,1,ChargePoint Network,0,2
153,San Francisco,1,1,Other,0,0
154,San Francisco,1,1,Other,1,0
155,San Francisco,1,1,Tesla Destination,0,0
156,San Francisco,1,1,eVgo Network,1,1
157,Southern Other,0,0,ChargePoint Network,0,33
158,Southern Other,0,0,ChargePoint Network,1,15
159,Southern Other,0,0,Other,0,8
160,Southern Other,0,0,Other,1,6
161,Southern Other,0,0,Tesla,1,4
162,Southern Other,0,0,Tesla Destination,0,6
163,Southern Other,0,0,SHELL_RECHARGE,0,4
164,Southern Other,0,0,eVgo Network,1,3
165,Southern Other,0,1,ChargePoint Network,0,2
166,Southern Other,0,1,Other,1,1
167,Southern Other,0,1,Tesla,1,1
168,Southern Other,0,1,Tesla Destination,0,1
169,Southern Other,1,0,ChargePoint Network,0,40
170,Southern Other,1,0,ChargePoint Network,1,16
171,Southern Other,1,0,Other,0,19
172,Southern Other,1,0,Other,1,8
173,Southern Other,1,0,Tesla,1,2
174,Southern Other,1,0,Tesla Destination,0,1
175,Southern Other,1,0,SHELL_RECHARGE,0,1
176,Southern Other,1,0,eVgo Network,1,1
177,Southern Other,1,1,ChargePoint Network,0,13
178,Southern Other,1,1,ChargePoint Network,1,6
179,Southern Other,1,1,Electrify America,1,2
180,Southern Other,1,1,Other,1,2
181,Southern Other,1,1,Tesla,1,6
182,Southern Other,1,1,eVgo Network,1,2
